name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YDR383C	0.2222	0.0222	17413.1388	2.0000	0.0075	0
YDR461W	0.6667	0.0954	229.5692	0.0010	0.0000	0
YER028C	0.6667	0.0569	1955.0678	0.0010	0.0000	0
YGR195W	0.4643	0.0739	5382.0612	30.0000	2008.2624	1
YGR201C	0.6667	0.0769	214.9837	0.0010	0.0000	0
YGR219W	1.0000	0.1000	0.0000	0.0010	0.0000	0
YGR235C	1.0000	0.1000	0.0000	0.0010	0.0000	0
YGR277C	1.0000	0.1000	0.0000	0.0010	0.0000	1
YHL011C	0.4000	0.0146	7784.3112	0.0010	0.0000	0
YHR008C	0.5000	0.0981	755.3437	0.0010	0.0000	0
YHR022C	0.5000	0.0833	4518.6228	0.0010	0.0000	0
YHR026W	0.4000	0.0076	7115.7877	0.0010	0.0000	0
YHR058C	0.3333	0.0157	18588.1916	9.0000	0.2714	1
YHR059W	1.0000	0.1000	0.0000	0.0010	0.0000	0
YJL097W	0.6667	0.0482	881.8860	0.0010	0.0000	1
YJL140W	0.4000	0.0054	16338.2750	8.0000	0.0028	0
YJL166W	0.5000	0.0144	2670.3233	1.0000	0.0001	0
YBR064W	0.6667	0.2000	257.2382	0.0010	0.0000	0
YOR317W	0.4000	0.0074	7882.2621	0.0010	0.0000	0
YBR066C	0.6667	0.0072	3287.4635	0.0010	0.0000	0
YBR067C	0.5000	0.0076	5292.9924	0.0010	0.0000	0
YNL237W	0.6667	0.0275	298.7240	0.0010	0.0000	0
YPR138C	1.0000	0.5000	0.0000	0.0010	0.0000	0
YBR068C	0.4000	0.2222	5658.3962	0.0010	0.0000	0
YJL129C	1.0000	0.4000	0.0000	0.0010	0.0000	0
YKL106W	0.5000	0.0236	24299.8995	0.0010	0.0000	0
YKR050W	0.6667	0.0788	3076.4452	0.0010	0.0000	0
YOR133W	0.6667	0.2500	188.9312	5.0000	61.5010	0
YBR069C	1.0000	0.6667	0.0000	0.0010	0.0000	0
YOL109W	0.6667	0.2190	4383.0000	0.0010	0.0000	0
YBR073W	0.5000	0.0211	2107.7806	0.0010	0.0000	0
YER179W	0.1250	0.0151	28386.7409	0.0010	0.0000	0
YBR074W	0.5000	0.0059	8948.9893	0.0010	0.0000	0
YMR083W	0.6667	0.3333	268.1673	0.0010	0.0000	0
YKR007W	0.5000	0.1242	9162.8860	5.0000	136.1949	0
YMR004W	0.3929	0.0294	7033.1908	0.0010	0.0000	0
YOR045W	0.4000	0.0180	5083.2078	8.0000	0.1087	0
YBR079C	0.6667	0.1818	822.9291	10.0000	599.5431	1
YMR309C	0.3929	0.1042	10236.3311	26.0000	8321.7390	1
YNL243W	0.3077	0.0422	12400.8778	15.0000	40.8708	1
YOR361C	0.4286	0.1462	2881.6989	34.0000	22176.0482	1
YBR081C	0.6797	0.0292	4958.4817	111.0000	3336.2318	0
